name,city,state,google_review_rating,number_of_google_review_in_lakhs,final_score
Mahalakshmi Temple,Kolhapur,Maharastra,4.8,0.9,0.8161610590182018
Sai Baba Temple,Shirdi,Maharastra,4.7,0.69,0.8023221180364039
Shaniwar Wada,Pune,Maharastra,4.4,1.2,0.7916161059018202
Ganapatipule Temple,Ratnagiri,Maharastra,4.7,0.1,0.7863761720904578
Ajanta Caves,Aurangabad,Maharastra,4.6,0.21,0.7811858797573084
