name,city,state,google_review_rating,number_of_google_review_in_lakhs,final_score
Mysore Palace,Mysore,Karnataka,4.6,2.5,0.8430777716492002
ISKCON Temple Bangalore,Bangalore,Karnataka,4.6,1.14,0.8063210148924435
Lalbagh Botanical Garden,Bangalore,Karnataka,4.4,1.5,0.7997242140099283
Vidhana Soudha,Bangalore,Karnataka,4.6,0.8,0.7971318257032542
Murudeshwar Temple,Murudeshwar,Karnataka,4.7,0.49,0.7969167126309984
